id,c_reg,c_raj,name,name_raj,c_sti
data_ti_sprsti_674,21,15,НОВОКАХОВСЬКА ОДПI (КАХОВСЬКЕ ВIД-НЯ),КАХОВСЬКИЙ Р-Н,2115
data_ti_sprsti_675,21,16,ГЕНIЧЕСЬКА ОДПI (НИЖНЬОСIРОГОЗЬКЕ ВIД-НЯ),НИЖНЬОСIРОГОЗЬКИЙ Р-Н,2116
data_ti_sprsti_676,21,17,НОВОКАХОВСЬКА ОДПI (НОВОВОРОНЦОВСЬКЕ ВIД-НЯ),НОВОВОРОНЦОВСЬКИЙ Р-Н,2117
data_ti_sprsti_677,21,18,ГЕНIЧЕСЬКА ОДПI ГУ ДФС (НОВОТРОЇЦЬКЕ ВIД-НЯ),НОВОТРОЇЦЬКИЙ Р-Н,2118
data_ti_sprsti_678,21,19,ХЕРСОНСЬКА ОДПI ГУ ДФС (СКАДОВСЬКЕ ВIДДIЛЕННЯ),СКАДОВСЬКИЙ Р-Н,2119
data_ti_sprsti_679,21,20,ХЕРСОНСЬКА ОДПI ГУ ДФС (ОЛЕШКIВСЬКЕ ВIДДIЛЕННЯ),ОЛЕШКIВСЬКИЙ  Р-Н,2120
data_ti_sprsti_680,21,21,ХЕРСОНСЬКА ОДПI ГУ ДФС (ЧАПЛИНСЬКЕ ВIДДIЛЕННЯ),ЧАПЛИНСЬКИЙ Р-Н,2121
data_ti_sprsti_681,21,23,ХЕРСОНСЬКА ОДПI ГУ ДФС (М.ГОЛА ПРИСТАНЬ),М.ГОЛА ПРИСТАНЬ,2123
data_ti_sprsti_682,21,31,ДПI У М.ХЕРСОНI ГУ МIНДОХОДIВ У ХЕРСОНСЬКIЙ ОБЛАСТI,ДНIПРОВСЬКИЙ Р-Н М.ХЕРСОН,2131
data_ti_sprsti_683,21,32,ДПI У М.ХЕРСОНI ГУ МIНДОХОДIВ У ХЕРСОНСЬКIЙ ОБЛАСТI,СУВОРОВСЬКИЙ Р-Н М.ХЕРСОН,2132
data_ti_sprsti_684,21,33,ДПI У М.ХЕРСОНI ГУ МIНДОХОДIВ У ХЕРСОНСЬКIЙ ОБЛАСТI,КОМСОМОЛЬСЬКИЙ Р-Н М.ХЕРСОН,2133
data_ti_sprsti_685,22,2,СЛАВУТСЬКА ОДПI ГУ ДФС У ХМЕЛЬН.ОБЛ (БIЛОГIРСЬКЕ В-НЯ),БIЛОГIРСЬКИЙ Р-Н,2202
data_ti_sprsti_686,22,3,КАМ'ЯНЕЦЬ-ПОДIЛЬСЬКА ОДПI (ВIНЬКОВЕЦЬКЕ ВIДДIЛЕННЯ),ВIНЬКОВЕЦЬКИЙ РАЙОН,2203
data_ti_sprsti_687,22,4,КРАСИЛIВСЬКА ОДПI ГУ ДФС (ВОЛОЧИСЬКЕ ВIДДIЛЕННЯ),ВОЛОЧИСЬКИЙ Р-Н,2204
data_ti_sprsti_688,22,5,КАМ'ЯНЕЦЬ-ПОДIЛЬСЬКА ОДПI (ГОРОДОЦЬКЕ ВIДДIЛЕННЯ),ГОРОДОЦЬКИЙ Р-Н,2205
data_ti_sprsti_689,22,6,КРАСИЛIВСЬКА ОДПI ГУ ДФС (ДЕРАЖНЯНСЬКЕ ВIДДIЛЕННЯ),ДЕРАЖНЯНСЬКИЙ Р-Н,2206
data_ti_sprsti_690,22,7,КАМ'ЯНЕЦЬ-ПОДIЛЬСЬКА ОДПI (ДУНАЄВЕЦЬКЕ ВIДДIЛЕННЯ),ДУНАЄВЕЦЬКИЙ РАЙОН,2207
data_ti_sprsti_691,22,8,СЛАВУТСЬКА ОДПI ГУ ДФС У ХМЕЛЬН.ОБЛ (IЗЯСЛАВСЬКЕ В-НЯ),IЗЯСЛАВСЬКИЙ Р-Н,2208
data_ti_sprsti_692,22,9,КАМ'ЯНЕЦЬ-ПОДIЛЬСЬКА ОДПI ГУ ДФС У ХМЕЛЬНИЦЬКIЙ ОБЛ.,КАМ'ЯНЕЦЬ-ПОДIЛЬСЬКИЙ Р-Н,2209
data_ti_sprsti_693,22,10,КРАСИЛIВСЬКА ОДПI ГУ ДФС У ХМЕЛЬНИЦЬКIЙ ОБЛАСТI,КРАСИЛIВСЬКИЙ Р-Н,2210
data_ti_sprsti_694,22,11,КРАСИЛIВСЬКА ОДПI ГУ ДФС (ЛЕТИЧIВСЬКЕ ВIДДIЛЕННЯ),ЛЕТИЧIВСЬКИЙ Р-Н,2211
data_ti_sprsti_695,22,12,КАМ'ЯНЕЦЬ-ПОДIЛЬСЬКА ОДПI (НОВОУШИЦЬКЕ ВIДДIЛЕННЯ),НОВОУШИЦЬКИЙ РАЙОН,2212
