"id","parent_id/id","main_name","name","description","excise_code"
"l10n_ua_product_classification.product_classification_79698","l10n_ua_product_classification.product_classification_79697","","0203195500","обвалені",""
"l10n_ua_product_classification.product_classification_79699","l10n_ua_product_classification.product_classification_79697","","0203195900","інші",""
"l10n_ua_product_classification.product_classification_79700","l10n_ua_product_classification.product_classification_79696","","0203191100","передній  край  та  його  відруби",""
"l10n_ua_product_classification.product_classification_79701","l10n_ua_product_classification.product_classification_79696","","0203191300","корейка  та  її  відруби,  необвалені",""
"l10n_ua_product_classification.product_classification_79702","l10n_ua_product_classification.product_classification_79696","","0203191500","грудинка  з  прошарком  сала  та  її  відруби",""
"l10n_ua_product_classification.product_classification_79703","l10n_ua_product_classification.product_classification_79695","","0203199000","інша",""
"l10n_ua_product_classification.product_classification_79704","l10n_ua_product_classification.classification_2","","0204","Баранина  або  козлятина,  свіжа,  охолоджена  або  морожена:",""
"l10n_ua_product_classification.product_classification_79705","l10n_ua_product_classification.product_classification_79704","","","інша  баранина,  морожена:",""
"l10n_ua_product_classification.product_classification_79706","l10n_ua_product_classification.product_classification_79705","","0204410000","туші  та  половини  туш",""
"l10n_ua_product_classification.product_classification_79707","l10n_ua_product_classification.product_classification_79705","","020442","інші  відруби,  необвалені:",""
"l10n_ua_product_classification.product_classification_79708","l10n_ua_product_classification.product_classification_79707","","0204421000","передні  четвертини  короткого  розрубу",""
"l10n_ua_product_classification.product_classification_79709","l10n_ua_product_classification.product_classification_79707","","0204423000","хребтові  краї  спинної  частини  і/або  ниркові  частини",""
"l10n_ua_product_classification.product_classification_79710","l10n_ua_product_classification.product_classification_79707","","0204425000","тазостегнові  частини  з  гомілками",""
"l10n_ua_product_classification.product_classification_79711","l10n_ua_product_classification.product_classification_79707","","0204429000","інші",""
"l10n_ua_product_classification.product_classification_79712","l10n_ua_product_classification.product_classification_79705","","020443","обвалені:",""
"l10n_ua_product_classification.product_classification_79713","l10n_ua_product_classification.product_classification_79712","","0204431000","ягнят",""
"l10n_ua_product_classification.product_classification_79714","l10n_ua_product_classification.product_classification_79712","","0204439000","інші",""
"l10n_ua_product_classification.product_classification_79715","l10n_ua_product_classification.product_classification_79704","","","інша  баранина,  свіжа  або  охолоджена:",""
"l10n_ua_product_classification.product_classification_79716","l10n_ua_product_classification.product_classification_79715","","0204210000","туші  та  половини  туш",""
"l10n_ua_product_classification.product_classification_79717","l10n_ua_product_classification.product_classification_79715","","020422","інші  відруби,  необвалені:",""
"l10n_ua_product_classification.product_classification_79718","l10n_ua_product_classification.product_classification_79717","","0204221000","передні  четвертини  короткого  розрубу",""
"l10n_ua_product_classification.product_classification_79719","l10n_ua_product_classification.product_classification_79717","","0204223000","хребтові  краї  спинної  частини  і/або  ниркові  частини",""
"l10n_ua_product_classification.product_classification_79720","l10n_ua_product_classification.product_classification_79717","","0204225000","тазостегнові  частини  з  гомілками",""
"l10n_ua_product_classification.product_classification_79721","l10n_ua_product_classification.product_classification_79717","","0204229000","інші",""
"l10n_ua_product_classification.product_classification_79722","l10n_ua_product_classification.product_classification_79715","","0204230000","обвалена",""
"l10n_ua_product_classification.product_classification_79723","l10n_ua_product_classification.product_classification_79704","","0204100000","туші  та  половини  туш  ягнят,  свіжі  або  охолоджені",""
"l10n_ua_product_classification.product_classification_79724","l10n_ua_product_classification.product_classification_79704","","0204300000","туші  та  половини  туш  ягнят,  морожені",""
"l10n_ua_product_classification.product_classification_79725","l10n_ua_product_classification.product_classification_79704","","020450","козлятина:",""
"l10n_ua_product_classification.product_classification_79726","l10n_ua_product_classification.product_classification_79725","","","морожена:",""
"l10n_ua_product_classification.product_classification_79727","l10n_ua_product_classification.product_classification_79726","","","інші:",""
"l10n_ua_product_classification.product_classification_79728","l10n_ua_product_classification.product_classification_79727","","0204507100","відруби,  необвалені",""
"l10n_ua_product_classification.product_classification_79729","l10n_ua_product_classification.product_classification_79727","","0204507900","відруби,  обвалені",""
"l10n_ua_product_classification.product_classification_79730","l10n_ua_product_classification.product_classification_79726","","0204505100","туші  та  половини  туш",""
"l10n_ua_product_classification.product_classification_79731","l10n_ua_product_classification.product_classification_79726","","0204505300","передні  четвертини  короткого  розрубу",""
"l10n_ua_product_classification.product_classification_79732","l10n_ua_product_classification.product_classification_79726","","0204505500","хребтові  краї  спинної  частини  і/або  ниркові  частини",""
"l10n_ua_product_classification.product_classification_79733","l10n_ua_product_classification.product_classification_79726","","0204505900","тазостегнові  частини  з  гомілками",""
"l10n_ua_product_classification.product_classification_79734","l10n_ua_product_classification.product_classification_79725","","","свіжа  або  охолоджена:",""
"l10n_ua_product_classification.product_classification_79735","l10n_ua_product_classification.product_classification_79734","","","інші:",""
"l10n_ua_product_classification.product_classification_79736","l10n_ua_product_classification.product_classification_79735","","0204503100","відруби,  необвалені",""
"l10n_ua_product_classification.product_classification_79737","l10n_ua_product_classification.product_classification_79735","","0204503900","відруби,  обвалені",""
"l10n_ua_product_classification.product_classification_79738","l10n_ua_product_classification.product_classification_79734","","0204501100","туші  та  половини  туш",""
"l10n_ua_product_classification.product_classification_79739","l10n_ua_product_classification.product_classification_79734","","0204501300","передні  четвертини  короткого  розрубу",""
"l10n_ua_product_classification.product_classification_79740","l10n_ua_product_classification.product_classification_79734","","0204501500","хребтові  краї  спинної  частини  і/або  ниркові  частини",""
"l10n_ua_product_classification.product_classification_79741","l10n_ua_product_classification.product_classification_79734","","0204501900","тазостегнові  частини  з  гомілками",""
"l10n_ua_product_classification.product_classification_79742","l10n_ua_product_classification.classification_2","","0205","М’ясо  коней,  віслюків,  мулів  або  лошаків,  свіже,  охолоджене  або  морожене:",""
"l10n_ua_product_classification.product_classification_79743","l10n_ua_product_classification.product_classification_79742","","0205002000","свіже  або  охолоджене",""
"l10n_ua_product_classification.product_classification_79744","l10n_ua_product_classification.product_classification_79742","","0205008000","морожене",""
